remixid,artistid
OCR00881,4313
OCR02117,5184
OCR00921,4313
OCR02320,10203
OCR00132,4370
OCR00981,4545
OCR03123,14356
OCR00771,4299
OCR03238,4703
OCR03043,4703
OCR03131,4703
OCR02185,10172
OCR02347,10988
OCR02642,12703
OCR01410,4593
OCR03002,4659
OCR03002,4628
OCR03049,4429
OCR02651,4787
OCR02656,4793
OCR02658,177
OCR02658,4635
OCR02997,13499
OCR03222,14493
OCR02955,12710
OCR01914,177
OCR01914,4635
OCR02653,4524
OCR02650,4659
OCR02650,4628
OCR02657,11967
OCR02657,11774
OCR02652,5420
OCR00636,4434
OCR00129,4281
OCR02794,9047
OCR02398,9047
OCR02072,9047
OCR00424,4291
OCR03164,5655
OCR01367,4537
OCR02344,4635
OCR03315,14979
OCR02936,5039
OCR02488,11503
OCR02488,11501
OCR00140,4280
OCR03439,14133
OCR03290,14928
OCR03109,12703
OCR03231,14580
OCR01242,4524
OCR00778,4440
OCR01307,4650
OCR00486,4303
OCR01293,4337
OCR01256,4529
OCR02427,11495
OCR00399,4279
OCR01906,5179
OCR01822,4730
OCR02804,10172
OCR01313,4755
OCR01313,4524
OCR03327,14976
OCR01009,4440
OCR00722,4472
OCR03457,14501
OCR01759,4788
OCR01243,4516
OCR02839,10990
OCR02736,12359
OCR02736,8361
OCR01806,10899
OCR01806,4291
OCR01806,4846
OCR00294,4429
OCR00294,4335
OCR01632,4285
OCR00792,4279
OCR02633,12708
OCR01272,4625
OCR02017,4656
OCR01244,4540
OCR02524,12421
OCR02003,4291
OCR02003,5706
OCR02003,4846
OCR02003,4692
OCR03126,9939
OCR00980,4293
OCR02943,14582
OCR02002,4754
OCR00494,4293
OCR02030,4767
OCR00562,4377
OCR02140,4797
OCR02140,9512
OCR02146,5628
OCR02082,4748
OCR02950,13748
OCR02950,10772
OCR02950,4588
OCR02005,36
OCR02870,4313
OCR01138,4293
OCR03220,14579
OCR01249,4637
OCR00360,4335
OCR02134,4787
OCR02097,4767
OCR02004,4553
OCR01183,4293
OCR01725,4759
OCR01791,4800
OCR01791,4765
OCR03276,14492
OCR03276,4743
OCR00594,4293
OCR02110,5409
OCR02110,4789
OCR02245,5012
OCR02245,10692
OCR02245,5396
OCR03203,10690
OCR02103,4787
OCR02101,4729
OCR02007,4722
OCR02000,100
OCR02000,21
OCR02000,102
OCR00999,4293
OCR03537,11501
OCR01276,4642
OCR00687,4293
OCR02805,12352
OCR02001,4279
OCR02080,4751
OCR02095,4750
OCR01546,4656
OCR02171,4793
OCR02107,5041
OCR02006,4694
OCR02006,4679
OCR02006,4598
OCR01571,4556
OCR02078,5707
OCR02846,4793
OCR02846,5420
OCR02679,5655
OCR02679,12481
OCR02552,4754
OCR02552,4661
OCR02552,10683
OCR02552,4605
OCR03199,4656
OCR02550,4595
OCR02550,5184
OCR02550,4558
OCR02639,5748
OCR02612,10690
OCR02548,100
OCR02548,5179
OCR02538,4749
OCR02538,12484
OCR02538,100
OCR02538,4595
OCR02538,4661
OCR02538,4540
OCR02538,5420
OCR02538,4729
OCR02538,4695
OCR02538,102
OCR02538,4558
OCR02540,4313
OCR02546,4595
OCR02543,5655
OCR02541,5420
OCR02541,5043
OCR02547,4613
OCR02547,4628
OCR02707,5655
OCR02707,11498
OCR01802,4751
OCR02551,12483
OCR02542,4748
OCR02545,5183
OCR02549,4759
OCR02544,4793
OCR02544,4751
OCR02569,4695
OCR03070,14133
OCR03232,5386
OCR03232,14465
OCR03232,14464
OCR00823,4377
OCR02660,10723
OCR02660,5655
OCR02980,10136
OCR02539,4693
OCR02637,5655
OCR02654,4737
OCR02654,12480
OCR02899,4547
OCR02962,10670
OCR03194,12711
OCR02661,12316
OCR02945,4655
OCR01519,4722
OCR03433,13740
OCR01865,5039
OCR01098,4518
OCR00231,4319
OCR01396,4666
OCR03139,12703
OCR01431,4640
OCR01431,4619
OCR01385,4678
OCR00740,4335
OCR01387,4501
OCR01808,4790
OCR00580,4313
OCR00825,4313
OCR01743,4619
OCR00754,4313
OCR03449,12703
OCR01842,4635
OCR01842,4634
OCR01646,4635
OCR01646,4732
OCR01646,4720
OCR00987,4313
OCR02915,4313
OCR01740,4279
OCR01741,4311
OCR01894,4313
OCR02483,11782
OCR02984,11782
OCR03285,4627
OCR00963,4542
OCR00847,4475
OCR01745,4685
OCR01265,4293
OCR03435,4287
OCR03435,4543
OCR01506,4685
OCR01351,4553
OCR03307,13849
OCR03177,14372
OCR01547,4593
OCR00193,36
OCR00341,4287
OCR01210,4582
OCR00479,4379
OCR00760,4484
OCR00776,4443
OCR01060,4484
OCR01744,4645
OCR00660,4450
OCR00343,4380
OCR00832,4443
OCR01281,4455
OCR03234,14491
OCR00238,4359
OCR03279,14463
OCR03284,5043
OCR01290,4403
OCR02360,10670
OCR02360,10896
OCR01686,4753
OCR01096,4461
OCR00402,4294
OCR02120,4313
OCR03507,15562
OCR00060,4366
OCR03063,10893
OCR03066,12064
OCR03273,13147
OCR02371,5655
OCR02985,11967
OCR02985,11774
OCR00960,4443
OCR03436,15315
OCR01371,4313
OCR01541,4582
OCR00984,4546
OCR01424,4666
OCR01424,8359
OCR01716,4595
OCR01716,4292
OCR01234,4618
OCR01091,4546
OCR01545,4318
OCR00526,4298
OCR01483,4579
OCR03088,14328
OCR03534,15750
OCR02559,10994
OCR01938,4627
OCR01439,4607
OCR00658,4448
OCR01469,4313
OCR01423,4440
OCR00123,4381
OCR02359,4793
OCR01427,4279
OCR01449,4529
OCR00449,4428
OCR00449,4291
OCR01651,4313
OCR01568,4734
OCR03309,4313
OCR01277,4501
OCR01277,4524
OCR01277,4558
